City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Butaritari,KI,2020-10-30 02:15:15,3.07,172.79,82.04,75,72,11.52,broken clouds
1,Dudinka,RU,2020-10-30 02:24:56,69.41,86.18,8.24,92,90,12.44,overcast clouds
2,Luderitz,NA,2020-10-30 02:19:39,-26.65,15.16,56.39,74,0,27.83,clear sky
3,Upernavik,GL,2020-10-30 02:18:55,72.79,-56.15,22.91,97,100,5.03,light snow
4,Rikitea,PF,2020-10-30 02:17:50,-23.12,-134.97,75.56,73,100,6.73,overcast clouds
5,Atuona,PF,2020-10-30 02:15:15,-9.8,-139.03,78.15,73,86,15.39,light rain
6,Sarkand,KZ,2020-10-30 02:24:57,45.41,79.92,34.99,69,42,2.93,scattered clouds
7,Vaitape,PF,2020-10-30 02:24:57,-16.52,-151.75,81.1,77,0,9.89,clear sky
8,Tasiilaq,GL,2020-10-30 02:17:58,65.61,-37.64,35.6,64,100,24.16,light rain
9,Mount Gambier,AU,2020-10-30 02:19:25,-37.83,140.77,62.6,63,75,12.75,broken clouds
10,Mutsu,JP,2020-10-30 02:24:58,41.29,141.22,51.8,62,75,11.41,broken clouds
11,Sarangani,PH,2020-10-30 02:24:58,5.4,125.46,83.75,77,57,12.86,broken clouds
12,Yellowknife,CA,2020-10-30 02:16:44,62.46,-114.35,16.0,94,80,3.58,broken clouds
13,Punta Arenas,CL,2020-10-30 02:18:18,-53.15,-70.92,44.6,75,75,5.82,broken clouds
14,Puerto Ayora,EC,2020-10-30 02:18:07,-0.74,-90.35,68.0,95,100,3.0,overcast clouds
15,Yar-Sale,RU,2020-10-30 02:22:54,66.83,70.83,17.01,97,100,8.41,overcast clouds
16,Bluff,NZ,2020-10-30 02:18:19,-46.6,168.33,61.0,91,100,1.99,light rain
17,Mataura,NZ,2020-10-30 02:17:49,-46.19,168.86,61.0,91,100,1.99,overcast clouds
18,Port Elizabeth,ZA,2020-10-30 02:17:51,-33.92,25.57,55.4,82,0,10.29,clear sky
19,Bud,US,2020-10-30 02:20:59,39.45,-86.18,45.0,87,90,9.17,overcast clouds
20,Vysokopillya,UA,2020-10-30 02:25:00,47.49,33.53,48.2,87,40,3.33,scattered clouds
21,Kavaratti,IN,2020-10-30 02:25:00,10.57,72.64,82.87,68,0,6.98,clear sky
22,Natal,BR,2020-10-30 02:25:00,-5.79,-35.21,78.8,78,40,9.17,scattered clouds
23,Talnakh,RU,2020-10-30 02:18:38,69.49,88.4,4.08,87,65,9.19,broken clouds
24,Geraldton,AU,2020-10-30 02:19:36,-28.77,114.6,93.2,28,0,8.05,clear sky
25,Mangan,IN,2020-10-30 02:25:01,27.52,88.53,74.77,21,9,4.36,clear sky
26,Cape Town,ZA,2020-10-30 02:16:46,-33.93,18.42,51.01,75,0,4.7,clear sky
27,Balykshi,KZ,2020-10-30 02:25:02,47.07,51.87,39.2,60,0,17.9,clear sky
28,Nikolskoye,RU,2020-10-30 02:18:20,59.7,30.79,50.0,93,90,4.47,shower rain
29,Srandakan,ID,2020-10-30 02:25:02,-7.94,110.25,86.5,63,0,5.59,clear sky
30,Qaanaaq,GL,2020-10-30 02:15:15,77.48,-69.36,4.96,71,5,6.29,clear sky
31,Khatanga,RU,2020-10-30 02:18:45,71.97,102.5,0.95,85,0,11.74,clear sky
32,Charters Towers,AU,2020-10-30 02:25:03,-20.1,146.27,90.84,14,0,7.76,clear sky
33,Nome,US,2020-10-30 02:19:16,64.5,-165.41,26.6,68,1,3.76,clear sky
34,East London,ZA,2020-10-30 02:17:50,-33.02,27.91,62.28,73,100,16.62,overcast clouds
35,Kulhudhuffushi,MV,2020-10-30 02:25:03,6.62,73.07,82.31,71,27,6.22,scattered clouds
36,Castro,BR,2020-10-30 02:17:55,-24.79,-50.01,60.24,96,100,5.19,light rain
37,Mahebourg,MU,2020-10-30 02:18:12,-20.41,57.7,66.99,65,17,5.99,light rain
38,Petauke,ZM,2020-10-30 02:18:06,-14.24,31.33,69.03,52,0,5.1,clear sky
39,Vaini,TO,2020-10-30 02:17:49,-21.2,-175.2,77.0,65,20,9.17,few clouds
40,Bakchar,RU,2020-10-30 02:25:04,57.02,82.07,28.26,99,85,4.36,overcast clouds
41,Kaitangata,NZ,2020-10-30 02:17:47,-46.28,169.85,62.01,88,100,1.99,overcast clouds
42,Bengkulu,ID,2020-10-30 02:19:12,-3.8,102.27,76.6,87,99,2.71,moderate rain
43,Fortuna,US,2020-10-30 02:13:02,40.6,-124.16,54.0,100,1,1.23,clear sky
44,Udachnyy,RU,2020-10-30 02:24:07,66.42,112.4,-8.28,90,63,1.03,broken clouds
45,Petropavlovsk-Kamchatskiy,RU,2020-10-30 02:20:22,53.05,158.65,46.4,61,75,2.24,broken clouds
46,Sukhumi,GE,2020-10-30 02:25:06,43.0,41.02,64.65,58,100,4.83,light rain
47,Kapaa,US,2020-10-30 02:17:58,22.08,-159.32,82.4,58,1,11.41,clear sky
48,Boa Vista,BR,2020-10-30 02:25:06,2.82,-60.67,84.2,66,20,4.7,light rain
49,Hermanus,ZA,2020-10-30 02:18:31,-34.42,19.23,46.0,87,42,2.08,scattered clouds
50,Enid,US,2020-10-30 02:24:34,36.4,-97.88,53.6,81,1,3.36,clear sky
51,Lakes Entrance,AU,2020-10-30 02:18:21,-37.88,147.98,64.99,74,46,7.0,scattered clouds
52,Kanniyakumari,IN,2020-10-30 02:25:07,8.08,77.57,80.31,75,47,4.56,scattered clouds
53,Vila Velha,BR,2020-10-30 02:17:43,-20.33,-40.29,79.0,83,75,11.41,broken clouds
54,Kodiak,US,2020-10-30 02:18:43,57.79,-152.41,41.0,56,1,3.36,clear sky
55,Hilo,US,2020-10-30 02:17:59,19.73,-155.09,80.6,78,90,4.7,light rain
56,Klaksvik,FO,2020-10-30 02:18:19,62.23,-6.59,48.2,93,100,32.21,light rain
57,Georgetown,MY,2020-10-30 02:18:02,5.41,100.34,84.2,79,20,5.82,few clouds
58,Hobart,AU,2020-10-30 02:15:03,-42.88,147.33,66.0,67,40,17.22,scattered clouds
59,Caravelas,BR,2020-10-30 02:19:14,-17.71,-39.25,76.46,84,100,9.66,overcast clouds
60,Lata,PT,2020-10-30 02:19:28,40.16,-8.33,55.99,100,0,3.36,clear sky
61,Jiaozuo,CN,2020-10-30 02:25:09,35.24,113.23,60.58,36,0,7.34,clear sky
62,Port Alfred,ZA,2020-10-30 02:18:08,-33.59,26.89,60.62,67,100,14.27,overcast clouds
63,Nikolsk,RU,2020-10-30 02:25:09,53.72,46.07,37.06,81,99,8.93,overcast clouds
64,Tessaoua,NE,2020-10-30 02:25:09,13.76,7.99,80.4,18,0,9.91,clear sky
65,Faya,SA,2020-10-30 02:19:48,18.39,42.45,55.4,40,0,2.68,clear sky
66,Babati,TZ,2020-10-30 02:25:10,-4.22,35.75,59.43,89,81,2.82,broken clouds
67,Tautira,PF,2020-10-30 02:25:10,-17.73,-149.15,82.4,78,40,13.87,scattered clouds
68,Pisco,PE,2020-10-30 02:17:56,-13.7,-76.22,63.0,82,0,19.46,clear sky
69,Albany,US,2020-10-30 02:16:01,42.6,-73.97,42.01,90,100,10.85,light rain
70,Lorengau,PG,2020-10-30 02:25:11,-2.02,147.27,84.15,74,100,9.37,moderate rain
71,Ca Mau,VN,2020-10-30 02:25:11,9.18,105.15,86.45,68,0,2.42,clear sky
72,Catamarca,AR,2020-10-30 02:25:11,-28.47,-65.79,53.01,50,36,8.77,scattered clouds
73,Tokur,RU,2020-10-30 02:19:22,53.13,132.9,28.74,93,100,4.99,overcast clouds
74,Taoudenni,ML,2020-10-30 02:20:03,22.68,-3.98,75.25,19,0,14.63,clear sky
75,Severo-Kurilsk,RU,2020-10-30 02:19:43,50.68,156.12,44.1,80,48,12.46,scattered clouds
76,Lagoa,PT,2020-10-30 02:19:06,39.05,-27.98,67.24,90,100,10.78,overcast clouds
77,Saint George,US,2020-10-30 02:16:42,37.1,-113.58,62.6,17,1,3.36,clear sky
78,Hambantota,LK,2020-10-30 02:25:13,6.12,81.12,80.2,75,100,4.81,overcast clouds
79,Vostok,RU,2020-10-30 02:18:38,46.49,135.88,32.68,100,100,3.15,overcast clouds
80,Bethel,US,2020-10-30 02:18:50,41.37,-73.41,44.6,93,90,10.29,mist
81,Powell River,CA,2020-10-30 02:18:14,49.85,-124.54,55.99,88,100,3.0,overcast clouds
82,Salinas,US,2020-10-30 02:19:29,36.68,-121.66,59.0,77,1,6.93,clear sky
83,Ciudad Bolivar,VE,2020-10-30 02:18:29,8.12,-63.55,82.76,72,82,10.0,broken clouds
84,Tarata,BO,2020-10-30 02:25:14,-17.62,-66.02,66.2,52,75,10.29,broken clouds
85,Busselton,AU,2020-10-30 02:17:53,-33.65,115.33,82.99,26,0,6.02,clear sky
86,Aasiaat,GL,2020-10-30 02:25:15,68.71,-52.87,17.67,95,100,5.93,overcast clouds
87,Muroto,JP,2020-10-30 02:20:56,33.28,134.15,68.0,37,75,16.11,broken clouds
88,New Norfolk,AU,2020-10-30 02:18:33,-42.78,147.06,66.0,49,85,3.0,overcast clouds
89,San Matias,BO,2020-10-30 02:25:15,-16.37,-58.4,74.73,89,100,5.66,heavy intensity rain
90,Keetmanshoop,NA,2020-10-30 02:18:49,-26.58,18.13,59.0,54,0,9.17,clear sky
91,Srednekolymsk,RU,2020-10-30 02:25:16,67.45,153.68,6.04,93,100,1.36,overcast clouds
92,Kutum,SD,2020-10-30 02:25:16,14.2,24.67,71.08,27,8,10.8,clear sky
93,San Patricio,US,2020-10-30 02:19:43,28.02,-97.52,62.6,51,20,14.99,few clouds
94,Bubaque,GW,2020-10-30 02:19:28,11.28,-15.83,84.2,73,0,10.31,clear sky
95,Jamestown,US,2020-10-30 02:15:02,42.1,-79.24,44.01,87,90,8.05,light rain
96,Arraial Do Cabo,BR,2020-10-30 02:18:18,-22.97,-42.03,75.02,94,96,3.87,light rain
97,Tuatapere,NZ,2020-10-30 02:18:27,-46.13,167.68,61.0,91,100,1.99,overcast clouds
98,Mwinilunga,ZM,2020-10-30 02:25:17,-11.74,24.43,62.22,91,4,3.0,clear sky
99,Ushuaia,AR,2020-10-30 02:17:26,-54.8,-68.3,44.6,70,75,12.75,broken clouds
100,Cabedelo,BR,2020-10-30 02:25:18,-6.98,-34.83,77.0,83,20,4.7,few clouds
101,Agadez,NE,2020-10-30 02:20:27,19.75,10.25,68.34,24,0,11.95,clear sky
102,Sao Joao Da Barra,BR,2020-10-30 02:18:25,-21.64,-41.05,75.61,89,96,19.26,overcast clouds
103,Dabou,CI,2020-10-30 02:25:18,5.33,-4.38,80.6,88,40,6.93,scattered clouds
104,Chicama,PE,2020-10-30 02:25:19,-7.84,-79.15,64.53,79,100,6.64,overcast clouds
105,Rebrikha,RU,2020-10-30 02:25:19,53.07,82.34,32.02,98,100,19.17,overcast clouds
106,Alta Floresta,BR,2020-10-30 02:19:38,-9.88,-56.09,72.66,97,100,4.07,overcast clouds
107,Nuristan,AF,2020-10-30 02:25:19,35.3,70.83,17.51,60,0,11.27,clear sky
108,Puerto Madryn,AR,2020-10-30 02:23:46,-42.77,-65.04,55.53,55,12,12.33,few clouds
109,Tuktoyaktuk,CA,2020-10-30 02:19:20,69.45,-133.04,5.29,95,25,6.13,scattered clouds
110,Barra Patuca,HN,2020-10-30 02:25:20,15.8,-84.28,79.95,85,99,7.45,light rain
111,Outjo,NA,2020-10-30 02:25:20,-20.12,16.15,65.84,55,35,5.35,scattered clouds
112,Katsuura,JP,2020-10-30 02:18:08,35.13,140.3,64.99,51,75,12.75,broken clouds
113,Avarua,CK,2020-10-30 02:18:11,-21.21,-159.78,77.0,69,97,11.41,overcast clouds
114,Hithadhoo,MV,2020-10-30 02:18:01,-0.6,73.08,82.9,77,64,11.48,broken clouds
115,Kalabo,ZM,2020-10-30 02:25:21,-14.97,22.68,73.8,57,55,4.74,broken clouds
116,Novocheremshansk,RU,2020-10-30 02:25:21,54.36,50.17,34.21,87,92,7.34,overcast clouds
117,Barguzin,RU,2020-10-30 02:25:21,53.62,109.62,34.52,86,100,1.77,overcast clouds
118,Sulangan,PH,2020-10-30 02:25:21,11.14,123.72,83.79,77,100,14.99,light rain
119,Canavieiras,BR,2020-10-30 02:25:22,-15.68,-38.95,76.44,84,100,8.86,overcast clouds
120,Bluefields,NI,2020-10-30 02:25:22,12.01,-83.76,79.12,89,1,4.83,clear sky
121,Bredasdorp,ZA,2020-10-30 02:17:56,-34.53,20.04,50.0,66,12,5.82,few clouds
122,Lavrentiya,RU,2020-10-30 02:19:28,65.58,-171.0,25.18,88,0,3.89,clear sky
123,Mar Del Plata,AR,2020-10-30 02:15:07,-38.0,-57.56,48.99,87,0,7.72,clear sky
124,Vila Franca Do Campo,PT,2020-10-30 02:19:24,37.72,-25.43,66.2,93,75,11.41,broken clouds
125,Dukat,RU,2020-10-30 02:25:23,62.55,155.55,13.35,94,95,1.28,overcast clouds
126,Srivardhan,IN,2020-10-30 02:25:23,18.03,73.02,78.82,71,96,5.7,overcast clouds
127,Ancud,CL,2020-10-30 02:25:24,-41.87,-73.82,50.0,76,79,11.41,broken clouds
128,Liverpool,GB,2020-10-30 02:21:41,53.41,-2.98,60.8,82,100,12.75,overcast clouds
129,Konongo,GH,2020-10-30 02:25:24,6.62,-1.22,71.29,98,51,1.59,broken clouds
130,Maniitsoq,GL,2020-10-30 02:25:24,65.42,-52.9,24.98,89,81,11.72,broken clouds
131,Angarsk,RU,2020-10-30 02:25:24,52.54,103.89,32.0,96,90,8.95,light shower snow
132,Laurel,US,2020-10-30 02:25:25,39.1,-76.85,51.01,100,90,3.36,overcast clouds
133,Dikson,RU,2020-10-30 02:17:55,73.51,80.55,9.1,93,100,25.9,overcast clouds
134,Narsaq,GL,2020-10-30 02:18:48,60.92,-46.05,30.2,86,51,2.24,light snow
135,Biloela,AU,2020-10-30 02:25:25,-24.42,150.5,89.1,26,0,14.12,clear sky
136,Kahului,US,2020-10-30 02:17:24,20.89,-156.47,87.8,55,75,8.05,broken clouds
137,Batagay-Alyta,RU,2020-10-30 02:19:32,67.8,130.41,7.63,94,100,2.42,light snow
138,Dongning,CN,2020-10-30 02:25:26,44.06,131.12,44.35,55,0,4.68,clear sky
139,Malindi,KE,2020-10-30 02:25:26,-3.22,40.12,76.3,83,12,7.02,moderate rain
140,Sorland,NO,2020-10-30 02:19:11,67.67,12.69,39.15,73,98,14.88,overcast clouds
141,Kushima,JP,2020-10-30 02:25:27,31.46,131.23,69.8,52,40,18.34,scattered clouds
142,Victoria,HK,2020-10-30 02:17:44,22.29,114.16,77.0,77,96,8.16,overcast clouds
143,Honiara,SB,2020-10-30 02:25:27,-9.43,159.95,84.2,74,40,6.93,shower rain
144,Ambilobe,MG,2020-10-30 02:18:57,-13.2,49.05,71.8,75,10,5.84,clear sky
145,The Valley,AI,2020-10-30 02:19:51,18.22,-63.06,84.2,74,40,11.41,scattered clouds
146,Nadvoitsy,RU,2020-10-30 02:25:27,63.87,34.32,43.68,89,77,11.59,broken clouds
147,Rongcheng,CN,2020-10-30 02:25:28,30.63,117.85,69.01,78,0,6.96,clear sky
148,Kashan,IR,2020-10-30 02:25:28,33.98,51.44,52.36,44,0,2.55,clear sky
149,Gold Coast,AU,2020-10-30 02:25:28,-28.0,153.43,82.99,69,0,14.99,clear sky
150,Cherskiy,RU,2020-10-30 02:18:53,68.75,161.3,7.81,93,100,3.49,overcast clouds
151,Bahia Honda,CU,2020-10-30 02:25:28,22.9,-83.16,77.95,86,4,2.37,light rain
152,Mehamn,NO,2020-10-30 02:18:26,71.04,27.85,34.7,84,96,18.54,light rain
153,Lappersdorf,DE,2020-10-30 02:25:29,49.06,12.09,48.99,87,90,3.36,overcast clouds
154,Riacho De Santana,BR,2020-10-30 02:25:29,-13.61,-42.94,73.4,94,0,4.7,clear sky
155,Pevek,RU,2020-10-30 02:18:32,69.7,170.31,19.81,95,100,11.43,overcast clouds
156,Dutlwe,BW,2020-10-30 02:25:29,-23.98,23.9,75.11,25,61,8.32,broken clouds
157,Cabo San Lucas,MX,2020-10-30 02:18:37,22.89,-109.91,77.0,57,20,12.75,few clouds
158,Saint-Augustin,CA,2020-10-30 02:18:17,51.23,-58.65,28.74,87,85,13.13,overcast clouds
159,Esperance,AU,2020-10-30 02:18:21,-33.87,121.9,66.2,42,100,12.75,overcast clouds
160,Chokurdakh,RU,2020-10-30 02:18:22,70.63,147.92,-3.71,93,98,1.72,overcast clouds
161,Kimberley,ZA,2020-10-30 02:25:31,-28.73,24.76,62.6,82,13,3.36,few clouds
162,Souillac,MU,2020-10-30 02:18:39,-20.52,57.52,66.99,65,27,5.99,light rain
163,Henties Bay,NA,2020-10-30 02:25:31,-22.12,14.28,55.0,90,9,1.01,clear sky
164,Las Cruces,US,2020-10-30 02:21:55,32.31,-106.78,54.0,53,1,4.7,clear sky
165,Beloha,MG,2020-10-30 02:25:31,-25.17,45.05,65.66,79,0,11.74,clear sky
166,Bereznik,RU,2020-10-30 02:25:32,62.86,42.71,46.38,94,100,7.58,light rain
167,Saskylakh,RU,2020-10-30 02:17:48,71.92,114.08,-0.15,84,47,6.13,scattered clouds
168,Aklavik,CA,2020-10-30 02:25:33,68.22,-135.01,9.23,92,35,6.71,scattered clouds
169,Buala,SB,2020-10-30 02:25:33,-8.14,159.59,81.01,79,100,9.08,light rain
170,Leningradskiy,RU,2020-10-30 02:22:33,69.38,178.42,17.29,88,51,13.87,broken clouds
171,Airai,TL,2020-10-30 02:17:57,-8.93,125.41,77.92,48,0,2.62,clear sky
172,Ahuimanu,US,2020-10-30 02:25:34,21.44,-157.84,84.2,48,75,6.93,broken clouds
173,San Cristobal,VE,2020-10-30 02:18:18,7.77,-72.22,80.6,74,40,2.24,scattered clouds
174,Dornoch,GB,2020-10-30 02:25:34,57.88,-4.03,57.2,87,75,16.11,broken clouds
175,Carnarvon,AU,2020-10-30 02:17:47,-24.87,113.63,77.0,69,75,14.99,broken clouds
176,Sur,OM,2020-10-30 02:25:34,22.57,59.53,71.92,67,0,6.89,clear sky
177,Anadyr,RU,2020-10-30 02:19:33,64.75,177.48,12.2,85,0,4.47,clear sky
178,Pozo Colorado,PY,2020-10-30 02:25:35,-23.49,-58.8,67.66,65,0,7.52,clear sky
179,Novyy Urengoy,RU,2020-10-30 02:18:03,66.08,76.63,6.55,95,92,8.88,overcast clouds
180,Ossora,RU,2020-10-30 02:19:17,59.24,163.07,35.2,87,95,5.57,overcast clouds
181,Praia,CV,2020-10-30 02:18:26,14.92,-23.51,78.8,78,20,17.22,few clouds
182,Goundi,TD,2020-10-30 02:25:36,9.36,17.37,73.67,74,1,4.74,clear sky
183,Jardim Do Serido,BR,2020-10-30 02:25:36,-6.58,-36.77,73.83,68,39,23.62,scattered clouds
184,Lebu,CL,2020-10-30 02:19:32,-37.62,-73.65,52.34,83,71,17.74,broken clouds
185,Faanui,PF,2020-10-30 02:18:06,-16.48,-151.75,80.22,79,0,9.98,clear sky
